index,size,delta,theta,alpha,beta,gamma
1,0.0314,-2.2049,8.8181,9.0166,6.9573,4.9432
2,0,-1.8783,8.5075,9.2789,7.0571,4.2271
3,0.0314,-0.9851,8.8197,8.1549,7.2785,4.6159
4,0.1256,-2.5279,8.1233,8.1008,7.8624,5.1703
5,0.2826,-2.9051,6.6549,7.7756,8.5712,5.4004
6,0.5024,-5.2453,5.9268,6.9656,8.8783,5.9047
7,0.785,-8.1961,3.8569,6.4324,8.8662,6.0091
8,1.1304,-9.1448,4.2233,5.4331,9.28,5.6684
9,1.1304,-4.4177,5.0507,4.9948,8.7153,5.6148
10,0.785,-1.6093,6.7489,6.1551,8.4139,5.7372
,,,,,,
11,0.0314,0.4936,8.8915,9.4487,6.9131,3.8211
12,0,1.2503,8.6176,8.5428,6.485,4.4126
13,0.0314,3.2038,10.0869,8.4703,5.9944,3.5486
14,0.1256,3.5497,9.9233,8.3376,6.2268,4.1236
15,0.2826,3.2108,8.7209,8.3676,6.3786,3.8554
16,0.5024,3.106,9.2238,8.9994,6.543,3.6718
17,0.785,1.1745,7.8486,8.3767,7.2123,4.0921
18,1.1304,-0.9788,9.6541,8.0615,6.9671,4.2859
19,1.1304,-1.533,9.9016,8.4175,6.4347,3.9127
20,0.785,-1.5113,8.7655,7.474,6.399,4.2578
,,,,,,
21,0.0314,1.5419,11.0454,8.8718,6.3083,3.7502
22,0,0.8544,11.5968,8.1402,6.8778,3.379
23,0.0314,2.1707,11.6739,8.0757,7.0189,4.3037
24,0.1256,2.0725,11.1384,8.502,6.8817,4.4229
25,0.2826,0.5418,10.593,8.442,7.6136,4.409
26,0.5024,1.6096,10.4316,8.4807,7.4962,4.5803
27,0.785,-0.0043,9.0739,7.3617,6.8063,4.5707
28,1.1304,-0.7246,8.5371,6.8635,6.2617,3.7014
29,1.1304,-0.6726,7.0558,6.08,6.2031,3.0428
30,0.785,-1.8512,4.6974,5.1582,6.4411,2.6856
,,,,,,
31,0.0314,2.0874,9.6744,7.7087,6.5687,3.8272
32,0,2.9842,10.272,7.8855,6.2485,4.1182
33,0.0314,3.6723,9.918,8.6995,6.6761,4.0325
34,0.1256,2.9163,10.0933,9.2094,6.3922,4.309
35,0.2826,2.8362,9.7656,10.0952,6.1733,3.7587
36,0.5024,1.8085,8.9855,9.4699,6.1097,4.0056
37,0.785,1.6215,7.869,8.8168,6.6143,3.8895
38,1.1304,-3.1699,7.977,7.7548,6.4544,2.8107
39,1.1304,-5.9705,4.5303,6.6191,6.3769,2.5477
40,0.785,-5.5138,4.8607,4.1524,6.3581,2.7729
,,,,,,
41,0.0314,2.0505,11.2426,8.5593,6.6011,3.867
42,0,-0.4336,9.3369,7.606,6.8433,3.9589
43,0.0314,-0.8754,9.3551,6.5148,7.5333,4.3645
44,0.1256,-0.9702,9.1909,6.208,7.0467,3.8232
45,0.2826,-1.5867,8.1771,6.7768,6.1547,3.2304
46,0.5024,-0.3467,7.0738,6.2616,5.8849,3.1805
47,0.785,-1.0376,6.3288,5.9462,5.3886,3.4048
48,1.1304,-0.5638,5.7699,6.3423,5.6895,3.1154
49,1.1304,-1.3648,5.3974,6.4356,6.0014,3.0486
50,0.785,-3.0543,4.9769,5.9722,5.7503,3.2975
